S.No,HallTicket-No,Branch,M-II,CE,AP,PSP,DLD,CE-LAB,AP-LAB,PSP-LAB,ES,LS-2,SGPA,CGPA
1,21BQ1A0501,CSE,A,B,A,B,B,A,A,A+,COMPLETED,COMPLETED,8.62,8.69
2,21BQ1A0502,CSE,A,C,A,D,B,A,A+,A+,COMPLETED,COMPLETED,8.23,8.31
3,21BQ1A0503,CSE,A+,A,A,D,D,A,A+,A+,COMPLETED,COMPLETED,8.38,8.5
4,21BQ1A0504,CSE,A+,B,A+,D,C,A,A+,A+,COMPLETED,COMPLETED,8.54,8.62
5,21BQ1A0505,CSE,A+,A,A,D,C,A,B,A+,COMPLETED,COMPLETED,8.38,8.08
6,21BQ1A0506,CSE,B,B,A,D,C,A,A,A+,COMPLETED,COMPLETED,8.0,8.35
7,21BQ1A0507,CSE,A+,B,A+,C,A,A+,A+,A+,COMPLETED,COMPLETED,9.08,9.31
8,21BQ1A0508,CSE,E,E,D,F,F,B,B,C,COMPLETED,COMPLETED,4.23,4.69
9,21BQ1A0509,CSE,A+,B,A+,B,B,A+,A+,A+,COMPLETED,COMPLETED,9.08,9.23
10,21BQ1A0510,CSE,A+,A,A,C,B,A+,A,A+,COMPLETED,COMPLETED,8.85,8.88
11,21BQ1A0511,CSE,A,A,A,D,C,A+,A,A+,COMPLETED,COMPLETED,8.38,8.73
12,21BQ1A0512,CSE,B,A,B,C,B,A+,A,A+,COMPLETED,COMPLETED,8.38,8.65
13,21BQ1A0513,CSE,A,B,B,D,C,A,A,A+,COMPLETED,COMPLETED,8.0,8.23
14,21BQ1A0514,CSE,A+,B,B,D,B,A+,A+,A+,COMPLETED,COMPLETED,8.46,8.62
15,21BQ1A0515,CSE,A,C,C,D,B,A,A+,A+,COMPLETED,COMPLETED,7.92,8.12
16,21BQ1A0516,CSE,B,B,B,C,D,A,A,A,COMPLETED,COMPLETED,7.77,7.92
17,21BQ1A0517,CSE,A+,A,A,C,B,A,A+,A+,COMPLETED,COMPLETED,8.85,8.88
18,21BQ1A0518,CSE,A+,B,A,C,B,A+,A,A+,COMPLETED,COMPLETED,8.69,8.81
19,21BQ1A0519,CSE,D,C,D,F,F,B,B,C,COMPLETED,COMPLETED,4.69,4.92
20,21BQ1A0520,CSE,C,F,C,E,F,B,B,A,COMPLETED,COMPLETED,4.85,5.5
21,21BQ1A0521,CSE,A,B,C,E,E,B,A,A,COMPLETED,COMPLETED,7.23,7.46
